epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.422,2.35184,2.56492,0.00501,0.4609,0.38173,0.34299,0.05517,3.49308,1.74132,0.00457,0.000656566,0.000656566,0.000656566
2,90.9364,1.75308,1.15158,0.00288,0.84801,0.82031,0.91277,0.51366,1.55843,0.85174,0.0015,0.0013145,0.0013145,0.0013145
3,119.383,1.76215,1.06194,0.00317,0.85611,0.84862,0.92914,0.5045,1.58478,0.83839,0.00154,0.00196363,0.00196363,0.00196363
4,148.344,1.66689,0.94148,0.00272,0.88984,0.86413,0.94384,0.49477,1.63717,0.70248,0.0016,0.0019604,0.0019604,0.0019604
5,176.796,1.64711,0.90313,0.00283,0.90471,0.88167,0.95615,0.56589,1.42229,0.64449,0.00132,0.0019472,0.0019472,0.0019472
6,205.338,1.63904,0.84531,0.00275,0.92502,0.89944,0.96961,0.58522,1.40842,0.5727,0.00134,0.001934,0.001934,0.001934
7,234.241,1.60233,0.81664,0.00308,0.92892,0.89694,0.96544,0.60345,1.33419,0.55722,0.00125,0.0019208,0.0019208,0.0019208
8,261.463,1.644,0.76413,0.00291,0.93263,0.91286,0.97095,0.51203,1.66246,0.58382,0.00165,0.0019076,0.0019076,0.0019076
9,289.549,1.62497,0.75184,0.00279,0.93908,0.92014,0.97202,0.51827,1.64533,0.60726,0.0016,0.0018944,0.0018944,0.0018944
10,318.286,1.60306,0.73756,0.00278,0.94063,0.92209,0.97658,0.6235,1.27936,0.49197,0.00121,0.0018812,0.0018812,0.0018812
11,347.306,1.58286,0.75199,0.00288,0.93425,0.92651,0.97248,0.49605,1.77963,0.603,0.00177,0.001868,0.001868,0.001868
12,375.852,1.57642,0.69995,0.00277,0.93367,0.90756,0.97245,0.65237,1.1931,0.55808,0.00108,0.0018548,0.0018548,0.0018548
13,404.107,1.55152,0.69098,0.00279,0.94354,0.91281,0.97623,0.57218,1.50302,0.54766,0.00144,0.0018416,0.0018416,0.0018416
14,432.729,1.58341,0.66741,0.00255,0.93106,0.91598,0.97397,0.61395,1.31869,0.57196,0.0012,0.0018284,0.0018284,0.0018284
15,461.158,1.6093,0.6783,0.00284,0.94787,0.92954,0.97828,0.55732,1.54037,0.53043,0.00148,0.0018152,0.0018152,0.0018152
16,490.179,1.57842,0.65684,0.00264,0.94107,0.91342,0.97592,0.64743,1.23087,0.50363,0.00112,0.001802,0.001802,0.001802
17,518.83,1.56874,0.65087,0.0027,0.95051,0.92642,0.98032,0.66092,1.18339,0.50294,0.00108,0.0017888,0.0017888,0.0017888
18,547.724,1.53174,0.65716,0.00275,0.94885,0.93491,0.97823,0.56541,1.54246,0.50304,0.00148,0.0017756,0.0017756,0.0017756
19,576.679,1.58003,0.67294,0.00272,0.95387,0.93772,0.98308,0.61098,1.35279,0.50675,0.00123,0.0017624,0.0017624,0.0017624
20,604.294,1.55733,0.61667,0.00248,0.94818,0.91836,0.97496,0.55302,1.52315,0.56336,0.00145,0.0017492,0.0017492,0.0017492
21,631.949,1.55943,0.64629,0.00287,0.9539,0.93998,0.98425,0.62519,1.33613,0.46249,0.00125,0.001736,0.001736,0.001736
22,660.707,1.55741,0.61154,0.00263,0.95691,0.93919,0.98435,0.68325,1.12301,0.43689,0.00102,0.0017228,0.0017228,0.0017228
23,689.592,1.50847,0.60699,0.00256,0.95033,0.92856,0.9808,0.60266,1.38264,0.50289,0.0013,0.0017096,0.0017096,0.0017096
24,718.09,1.54868,0.5991,0.0026,0.94823,0.92588,0.98118,0.64807,1.23252,0.50571,0.00112,0.0016964,0.0016964,0.0016964
25,746.608,1.55231,0.59389,0.00262,0.95496,0.93457,0.98433,0.69364,1.11244,0.43348,0.00101,0.0016832,0.0016832,0.0016832
26,774.699,1.54111,0.62011,0.00283,0.95659,0.93296,0.98369,0.65243,1.21459,0.47735,0.00112,0.00167,0.00167,0.00167
