epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7777,2.14047,1.44043,0.00432,0.93516,0.91941,0.97457,0.46592,1.84292,0.60615,0.00186,0.000656566,0.000656566,0.000656566
2,106.651,1.70248,0.68406,0.00285,0.95352,0.92689,0.98162,0.62681,1.3012,0.49847,0.00121,0.00131668,0.00131668,0.00131668
3,143.329,1.65879,0.66439,0.00311,0.92827,0.62106,0.84105,0.35352,2.09948,1.43065,0.00197,0.0019702,0.0019702,0.0019702
4,180.004,1.68706,0.62609,0.00286,0.93365,0.91916,0.95415,0.26723,2.73345,0.6828,0.00311,0.0019703,0.0019703,0.0019703
5,215.259,1.66331,0.63911,0.00297,0.95243,0.94224,0.98158,0.5068,1.72452,0.49631,0.00171,0.0019604,0.0019604,0.0019604
6,250.876,1.64574,0.62139,0.00291,0.96528,0.94517,0.97618,0.44932,1.82586,0.50143,0.00187,0.0019505,0.0019505,0.0019505
7,287.213,1.60059,0.63335,0.00305,0.95265,0.92618,0.97241,0.38931,2.12487,0.56029,0.00226,0.0019406,0.0019406,0.0019406
8,323.727,1.58998,0.59828,0.00289,0.96166,0.95201,0.98641,0.48422,1.85977,0.49351,0.00187,0.0019307,0.0019307,0.0019307
9,360.298,1.58554,0.59928,0.00282,0.96657,0.95067,0.98823,0.63448,1.33126,0.44203,0.00125,0.0019208,0.0019208,0.0019208
10,395.947,1.58248,0.60007,0.0028,0.95866,0.93662,0.98439,0.68782,1.12741,0.39676,0.00105,0.0019109,0.0019109,0.0019109
11,431.855,1.5726,0.62331,0.00306,0.97082,0.9506,0.98878,0.58783,1.50601,0.45467,0.00144,0.001901,0.001901,0.001901
12,467.426,1.56032,0.58823,0.00282,0.96549,0.93959,0.98702,0.65748,1.21264,0.38495,0.00113,0.0018911,0.0018911,0.0018911
13,503.508,1.54191,0.57771,0.00284,0.95554,0.9526,0.98728,0.65161,1.2421,0.44075,0.00115,0.0018812,0.0018812,0.0018812
14,540.356,1.60674,0.58629,0.00263,0.96883,0.95482,0.98934,0.53475,1.70651,0.49483,0.00167,0.0018713,0.0018713,0.0018713
15,576.165,1.56497,0.58438,0.00275,0.95483,0.93695,0.98559,0.64496,1.26764,0.40611,0.00116,0.0018614,0.0018614,0.0018614
16,612.333,1.54763,0.55758,0.0026,0.96843,0.95213,0.98932,0.68362,1.15136,0.39058,0.00106,0.0018515,0.0018515,0.0018515
17,648.113,1.51763,0.5491,0.00265,0.96303,0.94322,0.98726,0.63611,1.2867,0.42357,0.00116,0.0018416,0.0018416,0.0018416
18,684.325,1.51235,0.5653,0.00273,0.97304,0.94765,0.9889,0.69398,1.08252,0.4105,0.00097,0.0018317,0.0018317,0.0018317
19,721.26,1.54155,0.59463,0.00277,0.9684,0.94725,0.98734,0.6568,1.19286,0.38429,0.0011,0.0018218,0.0018218,0.0018218
20,757.223,1.51276,0.55283,0.00251,0.97017,0.94918,0.99006,0.59831,1.4296,0.41866,0.00136,0.0018119,0.0018119,0.0018119
21,793.189,1.50974,0.56887,0.00282,0.97017,0.94138,0.9869,0.67883,1.14262,0.39438,0.00106,0.001802,0.001802,0.001802
22,829.451,1.52534,0.55223,0.00269,0.9674,0.93308,0.98634,0.69207,1.09637,0.39154,0.001,0.0017921,0.0017921,0.0017921
